pref,store_type,payment_type,industry_type,month,store
宮崎県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,55.38461538461539
宮崎県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,89.26923076923077
宮崎県小計,移動販売等（タクシー、屋台など）,合計,合計,6,736.8846153846154
宮崎県小計,通信販売,QRコード　利用可能店,合計,6,12.923076923076923
宮崎県小計,通信販売,その他電子マネー等　利用可能店,合計,6,251.23076923076923
宮崎県小計,通信販売,クレジットカード　利用可能店,合計,6,378.8076923076923
宮崎県小計,通信販売,合計,合計,6,612.8076923076923
富山県小計,合計,QRコード　利用可能店,合計,6,4002.769230769231
富山県小計,合計,その他電子マネー等　利用可能店,合計,6,3662.4615384615386
富山県小計,合計,クレジットカード　利用可能店,合計,6,6724.576923076923
富山県小計,合計,合計,合計,6,9207.846153846154
富山県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,1061.1153846153845
富山県小計,固定店舗,QRコード　利用可能店,小売業,6,1978.923076923077
富山県小計,固定店舗,QRコード　利用可能店,飲食業,6,762.0769230769231
富山県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,821.9615384615385
富山県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,1821.3076923076924
富山県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,545.6153846153846
富山県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,1626.1538461538462
富山県小計,固定店舗,クレジットカード　利用可能店,小売業,6,3432.5
富山県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,1115.2692307692307
富山県小計,固定店舗,合計,その他サービス業,6,2245.8076923076924
富山県小計,固定店舗,合計,小売業,6,4314.346153846154
富山県小計,固定店舗,合計,飲食業,6,1608.0384615384614
富山県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,170.34615384615384
富山県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,84.6923076923077
富山県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,169.5
富山県小計,移動販売等（タクシー、屋台など）,合計,合計,6,292.84615384615387
富山県小計,通信販売,QRコード　利用可能店,合計,6,30.307692307692307
富山県小計,通信販売,その他電子マネー等　利用可能店,合計,6,388.88461538461536
富山県小計,通信販売,クレジットカード　利用可能店,合計,6,381.15384615384613
富山県小計,通信販売,合計,合計,6,746.8076923076923
山口県小計,合計,QRコード　利用可能店,合計,6,4560.576923076923
山口県小計,合計,その他電子マネー等　利用可能店,合計,6,3673.269230769231
山口県小計,合計,クレジットカード　利用可能店,合計,6,6659.192307692308
山口県小計,合計,合計,合計,6,9344.076923076924
山口県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,1203.2692307692307
山口県小計,固定店舗,QRコード　利用可能店,小売業,6,2079.8076923076924
山口県小計,固定店舗,QRコード　利用可能店,飲食業,6,833.0769230769231
山口県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,768.6538461538462
山口県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,1876.8846153846155
山口県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,576.0384615384615
山口県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,1387.9615384615386
山口県小計,固定店舗,クレジットカード　利用可能店,小売業,6,3799.230769230769
山口県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,937.0
山口県小計,固定店舗,合計,その他サービス業,6,2090.576923076923
山口県小計,固定店舗,合計,小売業,6,4605.692307692308
山口県小計,固定店舗,合計,飲食業,6,1405.4615384615386
山口県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,421.84615384615387
山口県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,75.11538461538461
山口県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,160.5
山口県小計,移動販売等（タクシー、屋台など）,合計,合計,6,516.4230769230769
山口県小計,通信販売,QRコード　利用可能店,合計,6,22.576923076923077
